id,status,url,kubernetes_name,cluster_name,model_id,model_name,model_version,entrypoint,created_at,creator,updated_at,resource_requirements,pod_autoscale_config
10046,stopped,https://spell-org.spell-org.spell.services/spell-org/churn-prediction/predict,model-serving-10046,spell-org,12,churn-prediction,v1,arize/serve_async.py,2021-02-05 22:31:46.957295+00:00,aleksey,2021-08-23 16:02:50.603769+00:00,"ContainerResourceRequirements(request=ResourceRequirement(cpu_millicores=900), limit=ResourceRequirement())","PodAutoscaleConfig(min_pods=1, max_pods=3, target_avg_requests_per_sec_millicores=10000)"
10043,running,https://spell-org.spell-org.spell.services/spell-org/cifar10/predict,model-serving-10043,spell-org,6,cifar10,v1,server/serve.py,2021-01-26 22:31:16.910887+00:00,aleksey,2021-12-09 19:01:34.619936+00:00,"ContainerResourceRequirements(request=ResourceRequirement(cpu_millicores=900), limit=ResourceRequirement())","PodAutoscaleConfig(min_pods=1, max_pods=1, target_avg_requests_per_sec_millicores=10000)"
10048,stopped,https://spell-org.spell-org.spell.services/spell-org/cifar10-demo/predict,model-serving-10048,spell-org,15,cifar10-demo,v1,server/serve.py,2021-08-03 22:59:01.982829+00:00,kevin,2021-08-23 16:02:50.607209+00:00,"ContainerResourceRequirements(request=ResourceRequirement(cpu_millicores=900), limit=ResourceRequirement())","PodAutoscaleConfig(min_pods=1, max_pods=5, target_avg_requests_per_sec_millicores=100000)"
10042,running,https://spell-org.spell-org.spell.services/spell-org/paint_with_ml/predict,model-serving-10042,spell-org,3,paint_with_ml,v1,lib/model_server/server.py,2021-01-26 22:24:40.370518+00:00,aleksey,2022-02-17 23:24:05.355687+00:00,"ContainerResourceRequirements(request=ResourceRequirement(cpu_millicores=900), limit=ResourceRequirement(gpu=1))","PodAutoscaleConfig(min_pods=1, max_pods=10, target_avg_requests_per_sec_millicores=10000)"
10041,running,https://spell-org.spell-org.spell.services/spell-org/spell-randomizer/predict,model-serving-10041,spell-org,10,spell-employees,v7,modelservers/simple_metrics/predictor.py,2021-01-26 17:58:50.193013+00:00,waldo,2021-12-09 19:55:38.355127+00:00,"ContainerResourceRequirements(request=ResourceRequirement(cpu_millicores=100), limit=ResourceRequirement())","PodAutoscaleConfig(min_pods=1, max_pods=5, target_avg_requests_per_sec_millicores=100000)"
10051,running,https://spell-org.spell-org.spell.services/spell-org/spell-randomizer-redeployed/predict,model-serving-10051,spell-org,10,spell-employees,v8,predictor.py,2021-12-09 19:03:14.136206+00:00,waldo,2022-02-17 23:24:05.030629+00:00,"ContainerResourceRequirements(request=ResourceRequirement(cpu_millicores=900), limit=ResourceRequirement())","PodAutoscaleConfig(min_pods=1, max_pods=5, target_avg_requests_per_sec_millicores=100000)"
